state_abb,geo_name,year,contest,fips,full_name_rep,vote_share_rep,incumbent_rep,contributor.cfscore_rep,prob_democrat_rep,gender_est_rep,race_est_rep,pid_est_rep,full_name_dem,vote_share_dem,incumbent_dem,contributor.cfscore_dem,prob_democrat_dem,gender_est_dem,race_est_dem,pid_est_dem,percent_women,pres_pctD,total,hispanic,white,black,asian
DE,wilmington,1992,151000_2019_10_montgomery_AL_Mayor_mayor_1,1077580,beatrice patton carroll,0.09,0.0,1.0116666666666667,0.0,F,white,R,james sills,0.91,0.0,-0.32,1.0,M,non_white,D,0.525989468320027,0.8919031504904071,73060,0.08621420156627706,0.33703341664085973,0.5707311204383476,0.006021261354515691
DE,wilmington,1996,2148000_1998_11_louisville_KY_Mayor_mayor_1,1077580,bradley zuber,0.39,0.0,0.9271428571428572,0.0,M,white,R,james sills,0.61,1.0,-0.32,1.0,M,non_white,D,0.525989468320027,0.8901725654690938,72707,0.09409492074443696,0.32788489111436986,0.5710252801901335,0.006994907951059657
DE,wilmington,2004,2205000_2016_12_baton rouge_LA_Mayor_mayor_1,1077580,robert bovell,0.27,0.0,0.7761904761904762,0.0,M,non_white,R,james baker,0.73,1.0,0.79,1.0,M,white,D,0.525989468320027,0.8867214626208771,72000,0.1098563591015818,0.3095878400604327,0.571613599693736,0.008942201144249415
DE,wilmington,2016,1263000_2021_11_st. petersburg_FL_Mayor_mayor_1,1077580,robert martin,0.1182795698924731,0.0,1.01,0.0,M,white,R,michael purzycki,0.8817204301075269,0.0,-0.295,1.0,M,white,D,0.525989468320027,0.878289359032449,70941,0.13349851663936085,0.2821422634771336,0.5724960789492167,0.011863140934288837
DC,washington,1990,2404000_2020_11_baltimore_MD_Mayor_mayor_1,1150000,maurice turner,0.1134020618556701,0.0,0.8433333333333333,0.0,M,non_white,R,sharon pratt dixon,0.8865979381443299,0.0,-0.2745454545454545,1.0,F,non_white,D,0.525549205047619,0.9144888615265064,503623,0.05893657749445658,0.2291474181016028,0.6988284542476103,0.013087550156330304
DC,washington,1994,1150000_1994_11_washington_DC_Mayor_mayor_1,1150000,carol schwartz,0.4285714285714285,0.0,0.21,0.0,F,white,R,marion barry,0.5714285714285715,0.0,-0.166,1.0,F,non_white,D,0.525549205047619,0.9190283654517628,527120,0.06662788140178859,0.25262960988864225,0.6627721158081312,0.01797039290143797
DC,washington,1998,1840788_1999_11_lafayette_IN_Mayor_mayor_1,1150000,carol schwartz,0.3125,0.0,0.21,0.0,F,white,R,anthony williams,0.6875000000000001,0.0,-0.65,1.0,M,non_white,D,0.525549205047619,0.923590403381264,550617,0.07431918532617791,0.27611180172776095,0.6267157772886867,0.022853235657374477
DC,washington,2002,1851876_2019_11_muncie_IN_Mayor_mayor_1,1150000,carol schwartz,0.3645833333333333,0.0,0.21,0.0,F,white,R,anthony williams,0.6354166666666666,1.0,-0.65,1.0,M,non_white,D,0.525549205047619,0.9281750871733438,574114,0.0820104892676242,0.29959399361895583,0.5906594386892807,0.027736078424139266
DC,washington,2006,471510_2011_11_surprise_AZ_Mayor_mayor_1,1150000,dave kranich,0.0625,0.0,0.8222222222222223,0.0,M,white,R,adrian fenty,0.9375,0.0,-0.75,1.0,M,non_white,D,0.525549205047619,0.9327825292415995,597611,0.08970179322612794,0.32307618556222867,0.55460310000991,0.03261892120173338
FL,boca raton,2020,1207300_2020_3_boca raton_FL_Mayor_mayor_1,1207300,scott singer,0.89,1.0,0.87,0.03,M,white,R,bernard korn,0.11,0.0,-0.4557142857142857,1.0,M,white,D,0.519945007592235,0.495841766329347,96716,0.15955337934816705,0.74891476036678,0.0572243435206505,0.03430751676440249
FL,boynton beach,2019,4804000_2019_5_arlington_TX_Mayor_mayor_1,1207875,steven b. grant,0.7209302325581396,0.0,-0.17,0.0,M,white,R,golene gordon,0.2790697674418604,0.0,-0.3653125,0.8,F,non_white,D,0.525744481466056,0.647039855539791,78709,0.16000187989437292,0.49230021243514116,0.3229181885095123,0.02477971916097362
FL,bradenton,1991,5182000_2020_11_virginia beach_VA_Mayor_mayor_1,1207950,william evers,0.67,0.0,0.73,0.0,M,white,R,charles conn,0.33,0.0,-0.435,0.98,M,white,D,0.528213471026153,0.550654067487649,46216,0.07527053465312158,0.7629345511930717,0.16179491415380667,0.0
FL,bradenton,1995,950370_2007_11_new britain_CT_Mayor_mayor_1,1207950,william evers,0.88,1.0,0.73,0.0,M,white,R,bob nolan,0.12,0.0,-0.4313793103448275,0.74,M,white,D,0.528213471026153,0.5394648287322455,47374,0.09450382038131812,0.7450979472844136,0.16039823233426823,0.0
FL,cape coral,1993,1210275_1993_11_cape coral_FL_Mayor_mayor_1,1210275,roger butler,0.59,0.0,0.7119354838709677,0.07,M,white,R,gary giebels,0.41,0.0,-0.3102857142857143,0.97,M,white,D,0.504419871481228,0.6029887616633323,72137,0.03579191058794919,0.9412281126188841,0.013478565481309794,0.009501411311856956
FL,cape coral,1996,3711800_2005_11_chapel hill_NC_Mayor_mayor_1,1210275,roger butler,0.57,1.0,0.9271428571428572,0.07,M,white,R,gary giebels,0.43,0.0,-0.3399999999999999,0.97,M,white,D,0.504419871481228,0.5602811030512702,85908,0.06060113219511962,0.9122040656829742,0.0168066130252122,0.010388189096693956
FL,cape coral,2005,1210275_2005_4_cape coral_FL_Mayor_mayor_1,1210275,arnold kempe,0.41,1.0,0.73,0.1,M,white,R,eric feichthaler,0.59,0.0,0.86,0.65,M,white,D,0.504419871481228,0.4837260645716911,127223,0.13502879670897736,0.8251319252351664,0.026790755615648094,0.01304852244020807
FL,cape coral,2013,1210275_2013_11_cape coral_FL_Mayor_mayor_1,1210275,john j. sullivan,0.5,1.0,0.83,0.17,M,white,R,marni lin sawicki,0.5,0.0,-0.79,0.74,F,white,D,0.504419871481228,0.4176312645058169,163947,0.20118672033387716,0.7477344675125741,0.0356655489773982,0.015413263176150587
AL,dothan,1997,121184_1997_7_dothan_AL_Mayor_mayor_1,121184,alfred saliba,0.48,1.0,1.07,0.01,M,white,R,chester sowell,0.52,0.0,-0.3572093023255814,0.67,M,white,D,0.525348337113736,0.3039671669434513,56016,0.005935317915338047,0.6942079041842039,0.29985677790045806,0.0
AL,dothan,2005,121184_2005_7_dothan_AL_Mayor_mayor_1,121184,pat thomas,0.58,0.0,0.92,0.01,F,white,R,chester sowell,0.42,1.0,-0.2620930232558139,0.67,M,white,D,0.525348337113736,0.315978313669879,61384,0.02003007180101157,0.6570069034598904,0.3178867772621887,0.005076247476909234
FL,clearwater,2008,1212875_2008_1_clearwater_FL_Mayor_mayor_1,1212875,frank hibbard,0.6,0.0,1.0,0.03,M,white,R,rita garvey,0.4,0.0,-0.82,1.0,F,white,D,0.522321312272597,0.548239137244373,110030,0.13051504646634907,0.7466804494037049,0.10214125708958424,0.02066324704036182
FL,clearwater,2020,1212875_2020_3_clearwater_FL_Mayor_mayor_1,1212875,frank hibbard,0.6962025316455697,1.0,1.0,0.03,M,white,R,elizabeth 'sea turtle' drayer,0.3037974683544303,0.0,-0.2,0.9,F,white,D,0.522321312272597,0.482758620689655,115650,0.18603525687962458,0.6762764152056473,0.10794589598635393,0.02974243192837414
