state_abb,category
CA,dem_state
DC,dem_state
NY,dem_state
MA,dem_state
MD,dem_state
VT,dem_state
HI,dem_state
RI,dem_state
CT,dem_state
WA,dem_state
OR,dem_state
NJ,dem_state
IL,dem_state
DE,dem_state
NM,dem_state
TX,rep_state
AL,rep_state
MS,rep_state
ID,rep_state
WY,rep_state
ND,rep_state
SD,rep_state
OK,rep_state
UT,rep_state
NE,rep_state
KS,rep_state
TN,rep_state
KY,rep_state
WV,rep_state
AR,rep_state
LA,rep_state
SC,rep_state
MT,rep_state
MO,rep_state
IN,rep_state
AK,rep_state
FL,swing_state
PA,swing_state
OH,swing_state
MI,swing_state
NC,swing_state
VA,swing_state
CO,swing_state
NV,swing_state
IA,swing_state
NH,swing_state
AZ,swing_state
WI,swing_state
GA,swing_state
MN,swing_state
ME,swing_state
